Collecting time,X,Y,Z,
10970,-113,-888,-302,
11011,-96,-933,-206,
11051,-82,-944,-7,
11091,-104,-885,176,
11131,-102,-870,198,
11171,-95,-856,218,
11211,-91,-838,239,
11251,-86,-833,249,
11291,-78,-821,263,
11331,-63,-799,278,
11371,-48,-765,305,
11411,-43,-695,355,
11451,-21,-581,395,
11491,0,-518,408,
11531,26,-482,405,
11571,46,-410,406,
11611,64,-362,400,
11651,77,-317,388,
11691,93,-285,376,
11731,106,-265,364,
11771,111,-245,355,
11811,119,-212,338,
11851,132,-170,311,
11891,152,-137,277,
11931,166,-111,245,
11971,178,-62,193,
12012,186,15,53,
12052,200,24,-127,
12092,202,15,-166,
12132,202,7,-184,
12172,210,1,-182,
12212,222,-6,-162,
12252,230,-16,-161,
12292,235,-29,-177,
12332,229,-42,-224,
12372,230,-82,-288,
12412,217,-106,-331,
12452,209,-126,-355,
12492,213,-142,-367,
12532,209,-156,-380,
12572,204,-163,-390,
12612,201,-173,-395,
12652,201,-181,-402,
12692,205,-190,-402,
12732,207,-208,-406,
12772,202,-208,-412,
12812,194,-221,-425,
12852,194,-252,-437,
12892,190,-279,-450,
12932,182,-300,-460,
12972,176,-327,-471,
13013,173,-369,-476,
13053,169,-426,-477,
13093,162,-569,-448,
13133,184,-745,-302,
13173,182,-774,-270,
13213,174,-798,-247,
13253,164,-809,-242,
13293,155,-817,-246,
13333,141,-829,-246,
13373,133,-842,-217,
13413,119,-879,-131,
13453,102,-894,-33,
13493,89,-892,15,
13533,85,-889,46,
13573,77,-883,70,
13613,67,-885,80,
13653,63,-880,100,
13693,53,-876,127,
13733,46,-878,129,
13773,38,-872,144,
13813,29,-867,164,
13853,16,-861,180,
13893,8,-847,207,
13933,-3,-828,237,
13973,-16,-813,257,
14014,-37,-802,277,
14054,-52,-776,303,
14094,-52,-740,328,
14134,-62,-714,349,
14174,-73,-681,368,
14214,-74,-649,384,
14254,-90,-632,393,
14294,-106,-612,406,
14334,-121,-577,415,
14374,-130,-538,427,
14414,-144,-510,428,
14454,-154,-465,433,
14494,-165,-408,437,
14534,-176,-352,434,
14574,-187,-286,424,
14614,-200,-212,401,
14654,-208,-161,382,
14694,-214,-119,360,
14734,-218,-63,323,
14774,-226,-19,282,
14814,-238,18,247,
14854,-242,48,201,
14894,-253,75,157,
14934,-261,106,88,
14974,-275,123,0,
15015,-282,125,-60,
15055,-288,120,-120,
15095,-291,106,-172,
15135,-294,93,-208,
15175,-296,77,-240,
15215,-301,61,-269,
15255,-312,36,-299,
15295,-320,-2,-344,
15335,-325,-34,-370,
15375,-331,-61,-393,
15415,-334,-85,-407,
15455,-345,-107,-418,
15495,-359,-133,-422,
15535,-365,-150,-424,
15575,-375,-180,-434,
15615,-383,-231,-448,
15655,-390,-285,-462,
15695,-398,-340,-466,
15735,-411,-406,-458,
15775,-420,-459,-451,
15815,-418,-518,-442,
15855,-415,-592,-418,
15895,-404,-662,-393,
15935,-386,-721,-365,
15975,-392,-737,-342,
16016,-401,-747,-323,
16056,-415,-753,-295,
16096,-426,-762,-272,
16136,-431,-777,-237,
16176,-440,-806,-137,
16216,-448,-799,-35,
16256,-455,-758,71,
16296,-463,-719,117,
16336,-467,-688,145,
16376,-465,-651,182,
16416,-466,-619,201,
16456,-461,-585,228,
16496,-455,-554,245,
16536,-451,-523,260,
16576,-450,-499,269,
16616,-448,-473,275,
16656,-447,-436,279,
16696,-444,-399,283,
16736,-442,-357,282,
16776,-438,-316,281,
16816,-427,-271,275,
16856,-417,-235,273,
16896,-408,-207,267,
16936,-401,-174,256,
16976,-391,-135,245,
17017,-376,-90,220,
17057,-370,-57,195,
17097,-361,-21,160,
17137,-349,14,127,
17177,-341,31,106,
17217,-336,47,68,
17257,-331,63,38,
17297,-332,68,16,
17337,-328,77,-24,
17377,-329,82,-64,
17417,-329,79,-97,
17457,-334,67,-155,
17497,-337,55,-197,
17537,-343,26,-253,
17577,-358,-32,-325,
17617,-361,-69,-361,
17657,-360,-112,-398,
17697,-357,-199,-453,
17737,-344,-271,-484,
17777,-331,-327,-503,
17817,-317,-369,-513,
17857,-305,-403,-521,
17897,-288,-441,-523,
17937,-279,-480,-523,
17977,-268,-521,-521,
18018,-255,-560,-517,
18058,-239,-596,-506,
18098,-227,-635,-495,
18138,-216,-670,-484,
18178,-207,-707,-462,
18218,-197,-749,-432,
18258,-193,-808,-377,
18298,-193,-853,-322,
18338,-185,-874,-294,
18378,-175,-889,-270,
18418,-167,-899,-249,
18458,-148,-895,-254,
18498,-129,-898,-249,
18538,-112,-906,-226,
18578,-98,-916,-189,
18618,-84,-924,-149,
18658,-71,-927,-97,
18698,-63,-927,-29,
18738,-54,-913,27,
18778,-55,-888,107,
18818,-70,-822,212,
18858,-81,-752,282,
18898,-80,-692,326,
18938,-68,-632,354,
18978,-56,-589,369,
19019,-40,-549,380,
19059,-21,-500,382,
19099,1,-447,388,
19139,15,-412,382,
19179,21,-382,384,
19219,33,-348,376,
19259,39,-325,372,
19299,43,-302,367,
19339,50,-279,360,
19379,57,-232,347,
19419,66,-199,335,
19459,70,-178,322,
19499,77,-146,303,
19539,88,-98,269,
19579,96,-66,241,
19619,110,-58,229,
19659,123,-48,208,
19699,131,-26,180,
19739,135,5,138,
19779,131,25,104,
19819,132,47,64,
19859,128,66,19,
19899,124,77,-35,
19939,118,87,-109,
19979,104,67,-223,
20020,85,7,-346,
20060,78,-57,-416,
20100,81,-119,-458,
20140,80,-172,-483,
20180,88,-196,-491,
20220,94,-219,-497,
20260,95,-265,-512,
20300,94,-293,-518,
20340,98,-315,-519,
20380,111,-359,-513,
20420,123,-408,-510,
20460,129,-448,-509,
20500,132,-493,-498,
20540,138,-520,-490,
20580,141,-541,-484,
20620,145,-567,-470,
20660,161,-597,-450,
20700,161,-623,-432,
20740,167,-623,-433,
20780,173,-637,-422,
20820,177,-646,-411,
20860,176,-648,-412,
20900,173,-657,-411,
20940,176,-668,-403,
20980,175,-706,-375,
21021,166,-760,-332,
21061,160,-803,-284,
21101,155,-837,-234,
21141,136,-878,-154,
21181,107,-908,-39,
21221,87,-907,30,
21261,83,-893,82,
21301,79,-881,116,
21341,82,-867,140,
21381,85,-845,169,
21421,86,-832,188,
21461,92,-817,197,
21501,89,-803,218,
21541,83,-795,227,
21581,82,-782,247,
21621,87,-747,266,
21661,81,-738,279,
21701,73,-738,282,
21741,79,-720,295,
21781,86,-695,302,
