Collecting time,X,Y,Z,
10770,-436,50,-82,
10810,-402,62,-151,
10850,-354,77,-206,
10890,-309,77,-263,
10930,-273,54,-338,
10970,-257,-14,-422,
11011,-246,-129,-514,
11051,-186,-287,-590,
11091,-61,-442,-609,
11131,127,-568,-540,
11171,300,-556,-367,
11211,355,-451,-170,
11251,329,-367,-65,
11291,299,-300,-1,
11331,260,-242,86,
11371,207,-193,159,
11411,134,-167,241,
11451,41,-146,307,
11491,-68,-145,350,
11531,-191,-147,360,
11571,-296,-152,337,
11611,-361,-150,308,
11651,-398,-110,265,
11691,-401,-35,201,
11731,-378,32,154,
11771,-339,78,141,
11811,-260,131,139,
11851,-142,161,167,
11891,-14,113,243,
11931,56,-21,319,
11971,13,-139,358,
12012,-40,-160,348,
12052,-69,-129,329,
12092,-77,-86,308,
12132,-105,-30,280,
12172,-136,12,250,
12212,-170,65,195,
12252,-207,109,125,
12292,-269,130,61,
12332,-338,125,-19,
12372,-401,91,-113,
12412,-449,37,-184,
12452,-470,-26,-250,
12492,-445,-55,-314,
12532,-397,-53,-358,
12572,-349,16,-317,
12612,-302,50,-305,
12652,-278,81,-268,
12692,-265,115,-218,
12732,-261,82,-300,
12772,-251,12,-409,
12812,-216,-69,-493,
12852,-135,-266,-596,
12892,15,-484,-597,
12932,248,-604,-429,
12972,371,-538,-151,
13013,345,-353,-18,
13053,291,-261,50,
13093,249,-216,92,
13133,214,-201,138,
13173,175,-206,204,
13213,119,-207,270,
13253,68,-96,252,
13293,-8,-44,266,
13333,-116,-34,292,
13373,-208,-18,277,
13413,-292,-26,263,
13453,-371,-59,241,
13493,-423,-72,209,
13533,-447,-43,148,
13573,-475,-32,76,
13613,-487,-13,18,
13653,-449,44,-32,
13693,-378,114,-90,
13733,-303,162,-139,
13773,-228,197,-171,
13813,-127,219,-183,
13853,-59,223,-109,
13893,-86,195,-11,
13933,-157,161,-42,
13973,-156,140,-87,
14014,-145,128,-154,
14054,-167,121,-181,
14094,-211,126,-149,
14134,-255,125,-129,
14174,-339,96,-125,
14214,-457,11,-154,
14254,-553,-129,-220,
14294,-609,-302,-237,
14334,-624,-504,-215,
14374,-566,-720,-117,
14414,-489,-813,-11,
14454,-413,-855,64,
14494,-346,-873,116,
14534,-283,-884,140,
14574,-258,-868,181,
14614,-258,-812,255,
14654,-264,-742,319,
14694,-258,-633,385,
14734,-202,-502,447,
14774,-104,-328,468,
14814,77,-226,418,
14854,262,-214,288,
14894,374,-378,112,
14934,339,-554,0,
14974,269,-663,-97,
15015,206,-696,-213,
15055,122,-709,-327,
15095,60,-690,-398,
15135,7,-664,-445,
15175,-20,-637,-476,
15215,-44,-602,-506,
15255,-88,-535,-538,
15295,-152,-462,-556,
15335,-202,-428,-558,
15375,-290,-403,-536,
15415,-396,-395,-483,
15455,-481,-456,-413,
15495,-528,-545,-334,
15535,-524,-653,-297,
15575,-459,-766,-300,
15615,-351,-845,-347,
15655,-202,-881,-415,
15695,-31,-810,-493,
15735,44,-625,-532,
15775,-13,-539,-527,
15815,-60,-555,-510,
15855,-74,-612,-489,
15895,-89,-653,-477,
15935,-104,-687,-465,
15975,-131,-740,-442,
16016,-165,-801,-396,
16056,-212,-861,-339,
16096,-282,-904,-251,
16136,-362,-915,-123,
16176,-422,-877,20,
16216,-441,-801,148,
16256,-415,-723,248,
16296,-371,-664,308,
16336,-332,-607,356,
16376,-309,-542,380,
16416,-300,-464,402,
16456,-322,-366,399,
16496,-345,-266,378,
16536,-358,-135,330,
16576,-332,30,237,
16616,-187,152,177,
16656,107,124,148,
16696,341,-191,105,
16736,318,-507,94,
16776,254,-652,40,
16816,213,-710,-18,
16856,173,-761,-114,
16896,118,-797,-193,
16936,58,-814,-272,
16976,-2,-793,-354,
17017,-49,-750,-423,
17057,-90,-692,-477,
17097,-155,-624,-519,
17137,-256,-578,-521,
17177,-358,-561,-484,
17217,-465,-580,-396,
17257,-522,-651,-276,
17297,-510,-759,-163,
17337,-416,-880,-114,
17377,-267,-972,-108,
17417,-101,-998,-140,
17457,72,-950,-209,
17497,164,-798,-345,
17537,109,-633,-451,
17577,33,-569,-480,
17617,-14,-576,-483,
17657,-41,-609,-479,
17697,-61,-663,-464,
17737,-87,-711,-449,
17777,-99,-772,-411,
17817,-127,-829,-372,
17857,-178,-873,-326,
17897,-235,-906,-278,
17937,-317,-920,-200,
17977,-422,-886,-76,
18018,-470,-821,54,
18058,-461,-748,177,
18098,-419,-675,271,
18138,-373,-612,330,
18178,-339,-554,369,
18218,-332,-472,390,
18258,-341,-357,390,
18298,-338,-236,379,
18338,-313,-100,341,
18378,-220,23,307,
18418,-96,102,261,
18458,110,66,234,
18498,291,-145,200,
18538,309,-412,163,
18578,267,-560,109,
18618,228,-645,61,
18658,197,-717,-16,
18698,156,-773,-94,
18738,102,-811,-178,
18778,42,-826,-265,
18818,-9,-805,-344,
18858,-56,-758,-413,
18898,-109,-704,-470,
18938,-180,-640,-511,
18978,-278,-596,-508,
19019,-395,-563,-458,
19059,-495,-610,-345,
19099,-511,-702,-250,
19139,-458,-817,-184,
19179,-353,-912,-176,
19219,-229,-961,-221,
19259,-107,-965,-286,
19299,15,-913,-367,
19339,81,-770,-466,
19379,33,-620,-514,
19419,-30,-562,-515,
19459,-45,-587,-490,
19499,-47,-617,-481,
19539,-34,-669,-455,
19579,-46,-710,-442,
19619,-67,-765,-413,
19659,-94,-827,-367,
19699,-151,-871,-332,
19739,-225,-899,-294,
19779,-296,-915,-237,
19819,-383,-901,-151,
19859,-454,-856,-44,
19899,-480,-798,66,
19939,-479,-729,156,
19979,-473,-649,226,
20020,-469,-562,268,
20060,-469,-470,296,
20100,-458,-352,317,
20140,-420,-221,325,
20180,-334,-71,320,
20220,-149,50,300,
20260,104,31,266,
20300,321,-202,197,
20340,343,-458,125,
20380,282,-616,59,
20420,231,-695,-24,
20460,184,-749,-103,
20500,130,-782,-190,
20540,83,-793,-262,
